zone_id,monitored_or_unmonitored,station_count,raw_observation_count,training_rows,validation_rows,test_rows,total_supervised_rows,test_MAE,test_RMSE,test_R2,test_bias,test_sample_count,prediction_available,kriging_available
ZONE-LHR-0001,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0002,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0003,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0004,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0005,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0006,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0007,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0008,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0009,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0010,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0011,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0012,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0013,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0014,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0015,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0016,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0017,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0018,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0019,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
