feature_name,source,timestamp_dependency,uses_current_timestamp,uses_future_timestamp,uses_target,uses_validation_or_test_information,leakage_status,M2_Algorithm,Contemporaneous_Station_Selection,Variogram_Fitting_Data,Future_Observations_Used,M2_Future_Dependency,Audit_Classification,Verification_Method
pm25_current,Direct Observation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_lag_24h,Historical Sensor Readings,24h,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_lag_48h,Historical Sensor Readings,48h,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_lag_7d,Historical Sensor Readings,7d,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_diff_24h,Temporal Dynamics Derivatives,t-2d to t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_trajectory_ratio,Temporal Dynamics Derivatives,t-2d to t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_acceleration,Temporal Dynamics Derivatives,t-2d to t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_rolling_mean_24h,Closed Backward Rolling Window,24h to 72h backward,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_rolling_mean_72h,Closed Backward Rolling Window,24h to 72h backward,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_rolling_max_24h,Closed Backward Rolling Window,24h to 72h backward,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_rolling_max_72h,Closed Backward Rolling Window,24h to 72h backward,True,False,False,False,GREEN (Zero Leakage),,,,,,,
pm25_rolling_std_72h,Closed Backward Rolling Window,24h to 72h backward,True,False,False,False,GREEN (Zero Leakage),,,,,,,
consecutive_elevated_days,Temporal Dynamics Derivatives,t-2d to t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
temp_max,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
temp_min,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
temp_mean,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
temp_diurnal_range,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
precipitation_sum,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
wind_speed_max,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
wind_direction_deg,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
stagnation_index,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
ventilation_factor,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
stagnation_smog_interaction,ERA5/Open-Meteo Weather at Date t,Timestamp t summary,True,False,False,False,GREEN (Zero Leakage),,,,,,,
month,Calendar Cyclic Transformation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
day_of_year,Calendar Cyclic Transformation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
is_monsoon,Calendar Cyclic Transformation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
is_smog_season,Calendar Cyclic Transformation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
sin_day_of_year,Calendar Cyclic Transformation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
cos_day_of_year,Calendar Cyclic Transformation,Date t,True,False,False,False,GREEN (Zero Leakage),,,,,,,
road_density_km_per_sqkm,Static Raster / OSM Geometry,Static Invariant,True,False,False,False,GREEN (Zero Leakage),,,,,,,
ndvi_index,Static Raster / OSM Geometry,Static Invariant,True,False,False,False,GREEN (Zero Leakage),,,,,,,
elevation_m,Static Raster / OSM Geometry,Static Invariant,True,False,False,False,GREEN (Zero Leakage),,,,,,,
slope_percent,Static Raster / OSM Geometry,Static Invariant,True,False,False,False,GREEN (Zero Leakage),,,,,,,
population_density_per_sqkm,Static Raster / OSM Geometry,Static Invariant,True,False,False,False,GREEN (Zero Leakage),,,,,,,
impervious_surface_ratio,Static Raster / OSM Geometry,Static Invariant,True,False,False,False,GREEN (Zero Leakage),,,,,,,
max_adjacent_sensor_pm25,Contemporaneous Sensors at Date t,Timestamp t only,True,False,False,False,GREEN (Zero Leakage),,,,,,,
mean_adjacent_sensor_pm25,Contemporaneous Sensors at Date t,Timestamp t only,True,False,False,False,GREEN (Zero Leakage),,,,,,,
spatial_pollution_gradient,Contemporaneous Sensors at Date t,Timestamp t only,True,False,False,False,GREEN (Zero Leakage),,,,,,,
wind_downwind_pm25_transport,Contemporaneous Wind Advection at Date t,Timestamp t only,True,False,False,False,GREEN (Zero Leakage),,,,,,,
,,,,,,,,"Universal Kriging with Spherical Variogram & Dual Covariates (NDVI, Road Density)",Filtered strictly by record_date == query_date,Contemporaneous physical sensor readings active at timestamp t only,False,False,GREEN (Zero Future Dependency),Code trace in spatial/kriging_engine.py at lines 80-160
