feature_name,xgb_gain_importance,perm_mae_increase_all_val,perm_mae_increase_severe_val
pm25_current,0.19168,7.897,7.471
pm25_rolling_mean_24h,0.36132,7.591,3.459
pm25_rolling_max_24h,0.06505,0.182,0.172
pm25_rolling_std_72h,0.00626,0.07,0.113
sin_day_of_year,0.00892,0.031,0.107
wind_downwind_pm25_transport,0.0096,0.045,0.067
spatial_pollution_gradient,0.01019,-0.001,0.051
max_adjacent_sensor_pm25,0.00679,0.003,0.042
road_density_km_per_sqkm,0.00455,0.044,0.037
mean_adjacent_sensor_pm25,0.00735,0.002,0.02
temp_min,0.01373,-0.051,0.018
pm25_trajectory_ratio,0.00882,0.161,0.011
temp_mean,0.00956,-0.046,0.007
wind_direction_deg,0.0,0.0,0.0
slope_percent,0.0,0.0,0.0
precipitation_sum,0.02306,0.669,-0.0
is_smog_season,0.00474,-0.006,-0.0
is_monsoon,0.0,0.0,0.0
impervious_surface_ratio,0.00228,0.007,-0.003
elevation_m,0.00582,-0.021,-0.004
day_of_year,0.01222,-0.003,-0.01
pm25_acceleration,0.00854,0.048,-0.013
month,0.00973,-0.025,-0.017
population_density_per_sqkm,0.00575,-0.016,-0.017
consecutive_elevated_days,0.0035,0.002,-0.03
pm25_diff_24h,0.00541,0.025,-0.074
ndvi_index,0.0064,-0.015,-0.091
pm25_lag_48h,0.00582,0.153,-0.093
stagnation_smog_interaction,0.01245,-0.127,-0.134
pm25_rolling_max_72h,0.01927,-0.031,-0.166
temp_max,0.00989,-0.004,-0.176
pm25_lag_7d,0.01058,0.326,-0.194
temp_diurnal_range,0.01029,-0.063,-0.202
cos_day_of_year,0.03402,0.859,-0.236
ventilation_factor,0.00965,0.065,-0.263
pm25_lag_24h,0.00549,0.199,-0.354
pm25_rolling_mean_72h,0.06569,2.479,-0.52
wind_speed_max,0.01154,-0.21,-0.535
stagnation_index,0.01404,-0.027,-0.605
